city,State_ab,State_name,population,density
Stonewall Gap,CO,Colorado,43.0,8.0
Stonewood,WV,West Virginia,1714.0,778.0
Stoney Point,OK,Oklahoma,263.0,4.0
Stonington,IL,Illinois,846.0,714.0
Stony Brook,NY,New York,12428.0,826.0
Stony Brook University,NY,New York,8943.0,2032.0
Stony Creek,VA,Virginia,178.0,119.0
Stony Creek Mills,PA,Pennsylvania,863.0,524.0
Stony Point,MI,Michigan,1644.5,405.5
Stony Prairie,OH,Ohio,1449.0,348.0
Stony Ridge,OH,Ohio,521.0,118.0
Stony River,AK,Alaska,40.0,4.0
Stonybrook,PA,Pennsylvania,2151.0,518.0
Stonyford,CA,California,92.0,12.0
Storden,MN,Minnesota,204.0,355.0
Storla,SD,South Dakota,31.0,95.0
Storm Lake,IA,Iowa,11066.0,755.0
