city,State_name,State_ab,ALand,AWater,Median,Stdev
Menifee,California,CA,8501862.5,962817.5,104142.5,100325.4391
Menomonee Falls,Wisconsin,WI,85270206,1015670,131336,161003.9791
Mentasta Lake,Alaska,AK,777122570,4503172,31756,32009.57747
Mentone,Indiana,IN,1509893,31349,77725,67723.55142
Mentor,Ohio,OH,14429589,195870,213909,199568.0658
Mentor On The Lake,Ohio,OH,4178011,103377,88037,101344.6352
Mequon,Wisconsin,WI,61372021,913332.5,172095,176951.6653
Mer Rouge,Louisiana,LA,3036759,21140,236233,196003.3568
Meraux,Louisiana,LA,10756176,1717883,92791,99547.38315
Merced,California,CA,17521670.25,0,118529.25,82360.70051
Mercer,Missouri,MO,3526136,525661.5,99600,107981.2447
Mercersburg,Pennsylvania,PA,6683568.5,0,78872,80658.43459
Meredith,New Hampshire,NH,3816284,958645,101917,111343.8123
Meredosia,Illinois,IL,2287149,55415,84115.5,93366.9006
Meriden,Connecticut,CT,21541969.33,320749.6667,169106.6667,109111.8004
Meridian,Idaho,ID,48209015.4,601904.4,65649.2,78110.73187
Meridianville,Alabama,AL,37743335.5,282633.5,108848.5,133850.104
Merion Station,Pennsylvania,PA,1302406,0,207833,193608.7897
Merna,Nebraska,NE,1037685.5,0,75875,44658.22909
Merrick,New York,NY,7430268,1476854,222317.5,203373.9893
Merrill,Michigan,MI,7247363.333,488423,77949.66667,98804.85415
Merrillan,Wisconsin,WI,2939647,0,66690,54371.78756
Merrimac,Wisconsin,WI,16935104,12926713,176656.5,172667.2321
Merrimack,New Hampshire,NH,7790533,814641,89129,98086.46986
Merryville,Louisiana,LA,25353793,47362,44107,50792.19947
Mesa,Arizona,AZ,75547429,67201,151199,163478.7147
Mescalero,New Mexico,NM,15891179,7120,11342,12692.60135
Mesopotamia,Ohio,OH,2274968,0,84528,111933.0642
Mesquite,New Mexico,NM,62219971,239997,59095.5,73011.78066
Metaline Falls,Washington,WA,548197,3523,36175,62616.57418
Metamora,Illinois,IL,3091777.333,4601,88823.33333,82068.70914
Methuen,Massachusetts,MA,57523675,2025823,122701,146635.4022
Metlakatla,Alaska,AK,5971505,49611,99031,140099.5386
